Date,Open,High,Low,Close,Volume,Adj Close
2000-12-29,24.0625,24.0625,23.3125,23.4375,4746800,17.045278
2000-12-28,23.8125,24.3125,23.8125,24.25,3995500,17.636181
2000-12-27,23.25,23.8125,23.1875,23.5625,5228800,17.136186
2000-12-26,22.8125,24.125,22.75,24.00,5520200,17.454364
2000-12-22,22.75,24.00,22.3125,22.8125,8402800,16.590737
2000-12-21,22.4375,24.1875,22.1875,24.1875,9171400,17.590727
2000-12-20,23.125,23.25,21.6875,22.125,7916000,16.090742
2000-12-19,23.8125,23.875,23.3125,23.5625,4097500,17.136186
2000-12-18,23.0625,23.6875,22.9375,23.50,5042200,17.090732
2000-12-15,22.1875,23.625,22.125,22.50,8593000,16.363467
2000-12-14,23.625,23.9375,23.1875,23.25,5470100,16.908915
2000-12-13,23.3125,24.0625,23.25,23.625,5728700,17.18164
2000-12-12,23.5625,24.25,23.5625,23.625,4245800,17.18164
2000-12-11,23.75,24.1875,23.5625,23.875,3334400,17.363456
2000-12-08,24.00,24.50,23.6875,24.125,3727400,17.545272
2000-12-07,23.875,24.50,23.8125,24.00,4572200,17.454364
2000-12-06,23.75,24.25,23.50,23.875,6054700,17.363456
2000-12-05,23.75,24.8125,23.3125,24.75,6770500,17.999813
2000-12-04,23.00,24.375,22.8125,23.8125,6196600,17.318002
2000-12-01,23.625,24.5625,23.00,24.1875,7976700,17.590727
2000-11-30,23.625,23.9375,22.5625,22.75,8213300,16.545283
2000-11-29,24.375,24.75,24.375,24.4375,2770700,17.772543
2000-11-28,24.6875,24.9375,24.125,24.125,3531100,17.545272
2000-11-27,23.875,24.9375,23.875,24.5625,3359100,17.863451
2000-11-24,23.875,24.375,23.8125,24.0625,1024300,17.499818
2000-11-22,24.0625,24.125,23.75,23.8125,2713100,17.318002
2000-11-21,23.875,24.75,23.875,24.375,4979400,17.727089
2000-11-20,24.875,24.875,23.50,23.50,6370400,17.090732
2000-11-17,25.00,25.25,24.875,24.9375,5177700,18.136175
2000-11-16,25.8125,25.9375,25.00,25.00,5392700,18.181629
2000-11-15,25.125,26.4375,25.125,26.25,5936000,19.090711
2000-11-14,25.00,25.8125,25.00,25.3125,3317600,18.4089
2000-11-13,24.875,25.875,24.875,25.3125,3675800,18.4089
2000-11-10,25.1875,25.3125,24.875,25.0625,3693700,18.227084
2000-11-09,24.9375,25.625,24.8125,25.4375,4345200,18.499808
2000-11-08,25.0625,26.125,24.8125,24.8125,5620900,18.045267
2000-11-07,25.375,26.0625,24.9375,25.00,7000200,18.181629
2000-11-06,25.25,26.75,25.25,26.4375,5284400,19.227073
2000-11-03,25.8125,26.1875,25.1875,25.3125,4587200,18.4089
2000-11-02,25.875,26.25,25.5625,26.0625,4093900,18.954349
2000-11-01,25.6875,26.50,25.625,25.8125,4792800,18.772532
2000-10-31,26.4375,27.00,25.50,26.125,7080400,18.999803
2000-10-30,25.25,27.00,25.1875,26.50,8974800,19.272527
2000-10-27,25.25,25.625,25.125,25.5625,3553700,18.372536
2000-10-26,25.00,25.4375,25.00,25.125,4230500,18.058092
2000-10-25,25.8125,25.875,25.0625,25.125,2832100,18.058092
2000-10-24,25.875,26.625,25.50,25.8125,3554800,18.552219
2000-10-23,25.00,25.6875,25.00,25.1875,3339000,18.103013
2000-10-20,24.9375,25.625,24.9375,25.0625,4282200,18.013171
2000-10-19,25.00,26.00,25.00,25.625,5765600,18.417457
2000-10-18,24.4375,25.4375,23.625,25.0625,5669200,18.013171
2000-10-17,24.3125,24.9375,24.3125,24.4375,3234100,17.563965
2000-10-16,25.0625,25.0625,24.25,24.625,3195200,17.698727
2000-10-13,24.00,25.4375,23.9375,25.375,5945700,18.237775
2000-10-12,24.0625,24.50,23.375,23.375,6510600,16.800315
2000-10-11,25.1875,25.1875,24.125,24.125,5781400,17.339362
2000-10-10,25.875,25.875,25.125,25.125,4375500,18.058092
2000-10-09,25.375,26.125,25.3125,25.875,4699600,18.59714
2000-10-06,25.6875,25.8125,25.3125,25.3125,4796000,18.192854
2000-10-05,26.1875,26.50,25.875,25.9375,5224300,18.64206
2000-10-04,25.8125,26.6875,25.8125,26.375,5076600,18.956505
2000-10-03,26.375,26.9375,25.625,25.625,5923400,18.417457
2000-10-02,25.4375,26.4375,25.375,26.0625,5431300,18.731901
2000-09-29,25.1875,26.125,25.125,25.50,7461300,18.327616
2000-09-28,24.50,25.625,24.50,25.0625,5791400,18.013171
2000-09-27,24.375,25.125,24.375,24.75,5421300,17.788568
2000-09-26,25.1875,25.625,24.3125,24.375,7430100,17.519045
2000-09-25,25.50,25.8125,25.3125,25.4375,5361600,18.282695
2000-09-22,24.875,25.625,24.3125,25.625,7491400,18.417457
2000-09-21,25.00,25.203119,24.625,24.8125,6660200,17.833489
2000-09-20,25.6875,25.75,25.00,25.0625,6776900,18.013171
2000-09-19,25.875,26.00,25.125,25.75,4706200,18.507298
2000-09-18,26.00,26.25,25.625,26.00,8035000,18.686981
2000-09-15,26.0625,26.4375,25.75,25.875,11398600,18.59714
2000-09-14,25.1875,26.50,25.0625,25.875,10230300,18.59714
2000-09-13,25.1875,25.9375,24.75,25.3125,10921100,18.192854
2000-09-12,25.50,25.9375,25.00,25.0625,8677000,18.013171
